Time,Monday,,Tuesday,,Wednesday,,Thursday,,Friday
10 AM - 11 AM,MATH31A; MATH31B; MATH32A; MATH32B; MATH33A; MATH33B; MATH61; PHYSICS1A; PHYSICS1B; PHYSICS1C; CS31; CS32; CS33; CSM51A; EE2; EE3; EE10; EE11L; EEM16; EE101A; EE102; EE113; EE131A; EE132A; EE141,,MATH31A; MATH31B; MATH32A; PHYSICS1A; PHYSICS1B; CS31; CS32; EE2; EE3; EE10; EE11L,,MATH31A; MATH31B; MATH32A; MATH32B; MATH33A; MATH33B; PHYSICS1A; CS31; CS32; CS33; CS35L; CSM117; EE2; EE3; EEM16; EE10; EE11L; EE101A; EE102; EE110; EE111L; EE134; EE141; ENGR183EW,,MATH31A; MATH31B; MATH32A; MATH32B; MATH33A; MATH33B; PHYSICS1A; PHYSICS1B; PHYSICS1C; CS31; CS32; CS33; EE3; EE10; EE11L; EE101A; EE102,,CS31; CS32; CS33; EE10; EEM16; EE101A; EE102; EE110; EE113
,,,,,,,,,
11 AM - 12 PM,MATH33A; MATH61; PHYSICS1A; PHYSICS1B; PHYSICS1C; CS31; CS32; CSM51A; EE3; EEM16; EE10; EE101A; EE102; EE110; EE131A,,MATH31A; MATH31B; MATH32A; PHYSICS1A; PHYSICS1B; CS31; CS32; CS33; EE2; EE3; EE10; EE11L; EE110; EE102,,MATH31A; MATH31B; MATH32A; MATH32B; MATH33A; MATH33B; PHYSICS1A; CS31; CS32; CS33; CS35L; CSM117; EE2; EE3; EE10; EE11L; EEM16; EE101A; EE102; EE110; EE111L; EE134; ENGR183EW,,MATH31A; MATH31B; MATH32A; MATH32B; MATH33A; MATH33B; PHYSICS1A; PHYSICS1B; PHYSICS1C; CS31; CS32; EE3; EE10; EE110; EE131A ,,CS31; CS32; CS33; EE10; EEM16; EE101A; EE102; EE110; EE113
,,,,,,,,,
12 PM - 1 PM,MATH31A; MATH31B; MATH32A; MATH32B; MATH33A; MATH33B; PHYSICS1A; PHYSICS1B; PHYSICS1C; CS31; CS32; CS33; CS35L; CS111; EE2; EE3; EE10; EEM16; EE101A; EE102; EE110; EE113; EE131A,,MATH31A; MATH31B; MATH32A; MATH32B; MATH33A; MATH33B; PHYSICS1A; PHYSICS1B; PHYSICS1C; CS31; CS32; EE3,,MATH31A; MATH31B; MATH32A; MATH32B; MATH33A; PHYSICS1A; PHYSICS1B; PHYSICS1C; CS31; CS32; CS35L; EE2; EE3; EE10; EE102; EE110; EE111L; EE113; EE115A; EE115B; EE131A,,MATH31A; MATH31B; MATH32A; MATH32B; MATH33A; MATH33B; MATH61; CHEM20A; CS31; CS32; CS33; CS35L; EE3; EE10; EE110; EE131A,,MATH33A; MATH33B; PHYSICS1A; PHYSICS1B; PHYSICS1C; PHYSICS4AL; CS31; CS32; CSM151B; EE3; EE102; EE115A; EE113; EE141
,,,,,,,,,
1 PM - 2 PM,MATH31A; MATH31B; MATH32A; MATH32B; MATH33A; MATH33B; PHYSICS1A; PHYSICS1B; PHYSICS1C; CS31; CS32; CS33; CS35L; CS111; EE3; EE10; EEM16; EE102; EE101A; EE110; EE113; EE131A; EE141,,MATH31A; MATH31B; MATH32A; MATH32B; MATH33A; MATH33B; PHYSICS1A; PHYSICS1B; PHYSICS1C; CS31; CS32; EE3,,MATH31A; MATH31B; MATH32A; MATH32B; MATH33A; PHYSICS1A; PHYSICS1B; CS31; CS32; CS35L; EE3; EE10; EE110; EE115A; EE111L; EE115B,,MATH31A; MATH31B; MATH32A; MATH32B; MATH33A; MATH33B; MATH61; PHYSICS1A; PHYSICS1B; PHYSICS1C; CHEM20A; CS31; CS32; CS33; CS35L; EE3; EE10; EE110,,PHYSICS1A; PHYSICS1B; PHYSICS1C; PHYSICS4AL; CS31; CS32; CSM151B; EE2; EE3; EE102; EE113; EE115A; EE141
,,,,,,,,,
2 PM - 3 PM,MATH31A; MATH31B; MATH32A; MATH32B; MATH33B; PHYSICS1A; PHYSICS1B; PHYSICS1C; EE3; EE10; EE102; EE110; EE131A; EE141 ,,CS31; CS32; CS33; EE3; EE10; EE102; EE110,,MATH31A; MATH31B; MATH32A; MATH32B; PHYSICS1A; PHYSICS1B; PHYSICS1C; CS31; CS32; CS33; EE3; EE10; EEM16; EE101A; EE110; EE113; EE131A,,MATH33A; MATH33B; CS31; CS32; EE3; EEM16,,CS31; EE2; EE3; EE102; EE113
,,,,,,,,,
3 PM - 4 PM,MATH33B; PHYSICS1A; PHYSICS1B; PHYSICS1C; CS31; CS32; CS111; CS180; EE102; EE141,,MATH32A; MATH33A; CS31; CS32; CS33; EE2; EE3; EE113; EE131A; EE132A,,MATH31A; MATH31B; MATH32A; MATH32B; PHYSICS1A; PHYSICS1B; PHYSICS1C; CS31; CS32; CS33; EE3; EE10; EEM16; EE101A; EE110; EE113; EE131A,,MATH32A; MATH32B; MATH33A; MATH33B; MATH61; PHYSICS1A; PHYSICS1B; PHYSICS1C; CS31; CS32; CS33; CSM51A; CS111; EE3; EEM16; EE102,,MATH32A; MATH32B; MATH33A; MATH33B; PHYSICS1A; PHYSICS1B; PHYSICS1C; CS31
,,,,,,,,,
4 PM - 5 PM,CS31; CS32; CS111; CS180; EE3,,MATH32A; MATH33A; CS31; CS32; CS33; EE3; EE10; EEM16; EE101A; EE101B; EE102; EE110; EE113; EE115A; EE115B; EE131A; EE132A; EE141; EE162A,,CS31; CS32; EE3,,CS31; CS32; CS33; CSM51A; EE3; EE10; EEM16; EE101A; EE101B; EE102; EE110; EE113; EE115A; EE115B; EE131A; EE132A; EE141; EE162A,,MATH32A; MATH32B; MATH33A; MATH33B; PHYSICS1A; PHYSICS1B; PHYSICS1C; CS31; CS32; EE3; EE10; EEM16; EE101A; EE101B; EE102; EE110; EE113; EE115A; EE115B; EE131A; EE132A; EE141; EE162A